date,gdp,unemp,ffr,infl,inv,cons,lab,lab_share,lab_prod,tfp,rr_1,ad
1993.75,10.56116298,6.633333333,0.7475,0.005442289,9.158739241,9.995529124,17.68056222,4.695467824,4.181026718,4.187872852,-0.25043579,-0.057366017
1994,10.56813237,6.566666667,0.803333333,0.004768274,9.189806181,10.0007364,17.6805161,4.683334207,4.183865288,4.173579251,0.53727095,0.06869296
1994.25,10.57867441,6.2,0.985,0.004816944,9.223878714,10.00597338,17.68970918,4.686187803,4.184748788,4.171421337,0.28719449,0.092360788
1994.5,10.58126726,6,1.121666667,0.005715845,9.210846244,10.01033771,17.69513008,4.68533904,4.179083916,4.168872089,0.52816472,0.055151636
1994.75,10.58961012,5.633333333,1.291666667,0.005415469,9.24253647,10.01513447,17.69898344,4.677481545,4.189518369,4.181057284,0.30080592,0.107332125
1995,10.59046574,5.466666667,1.4525,0.005414351,9.239538527,10.01776472,17.69404293,4.678550751,4.190260619,4.184337601,0.74217244,0.089363614
1995.25,10.59061666,5.666666667,1.505,0.004785167,9.224124927,10.0249828,17.68226627,4.67787217,4.194913617,4.199867565,0.20918393,0.011649523
1995.5,10.59585943,5.666666667,1.449166667,0.004915178,9.225438421,10.02846346,17.68930372,4.680129224,4.194823181,4.202413906,-0.0717443,-0.036955267
1995.75,10.59955546,5.566666667,1.43,0.004808201,9.236977629,10.03039426,17.68559019,4.680286935,4.200324886,4.205811396,-0.11845569,-0.063939212
1996,10.6045285,5.533333333,1.340833333,0.00479895,9.241950661,10.03889463,17.68423083,4.681733,4.206511859,4.230185785,0.12977887,-0.042164514
1996.25,10.61822498,5.5,1.310833333,0.004132322,9.274990106,10.04729543,17.6902592,4.67736991,4.216193395,4.219544469,-0.02691964,-0.016752467
1996.5,10.62390938,5.266666667,1.326666667,0.003269027,9.295883922,10.05297983,17.69628494,4.677844273,4.21980178,4.21888251,-0.14774214,-0.044341833
1996.75,10.63106031,5.333333333,1.32,0.005325138,9.291649539,10.06013077,17.69743366,4.677583866,4.220698173,4.225299723,0.0184763,-0.017569887
1997,10.63484532,5.233333333,1.319166667,0.005945264,9.310586351,10.06391577,17.70368012,4.68527443,4.218566086,4.216930859,,0.007101287
